Assembly	pacbio.contigs
# misassemblies	189
  # contig misassemblies	189
    # c. relocations	173
    # c. translocations	14
    # c. inversions	2
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	1
Misassembled contigs length	2762476
# local misassemblies	37
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	4
# mismatches	9674
# indels	496
    # indels (<= 5 bp)	460
    # indels (> 5 bp)	36
Indels length	1529
