baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EJCDLKNP_01859	1654.93627285737	-6.19945192684783	0.157634333383908	-39.3280562283946	0	0
EJCDLKNP_00196	18103.1754762889	-6.07351405036102	0.0998591117056271	-60.820829933527	0	0
EJCDLKNP_00844	28408.3425348697	-5.71420051141841	0.0863558304584447	-66.170407731394	0	0
EJCDLKNP_00843	34608.8239719947	-5.6805569957461	0.07208533915617	-78.8032221564415	0	0
EJCDLKNP_01347	4.8274973688309	-5.63136905998752	1.48229539354147	-3.79908693268833	0.000145230148132361	0.000216189972740145
EJCDLKNP_00197	16465.267307955	-5.55612096076346	0.0635950189706988	-87.3672348981203	0	0
EJCDLKNP_00842	37621.6426692783	-5.50199087228142	0.0685281134435253	-80.2880831794043	0	0
EJCDLKNP_00195	11124.9816273881	-5.47009582177448	0.075312788279	-72.6316996989971	0	0
EJCDLKNP_02892	4651.04868813586	-5.37291069706444	0.219113265568309	-24.5211565951009	8.7869978788174e-133	5.98551964353004e-132
EJCDLKNP_00839	17683.046854865	-5.33022250265508	0.0970125061121964	-54.9436636189008	0	0
EJCDLKNP_00841	40909.4503879923	-5.29606454103771	0.0768450210172904	-68.918772757523	0	0
EJCDLKNP_00838	56653.0379471484	-5.23339919811095	0.0602781944523058	-86.820769030363	0	0
EJCDLKNP_00840	24378.2921244622	-5.22744415543383	0.085291219845976	-61.2893585632127	0	0
EJCDLKNP_01279	19.20732189563	-5.13941648338723	0.926508863665777	-5.54707751316364	2.90483984470207e-08	4.98636508199144e-08
EJCDLKNP_01979	3745.62142450371	-5.00065326473929	0.0936362796912919	-53.4050827438454	0	0
EJCDLKNP_00350	6067.15284382459	-4.94550608610094	0.0829211323861004	-59.6410823609293	0	0
EJCDLKNP_00837	28417.4947243183	-4.89174588589768	0.0727517753220438	-67.2388524437215	0	0
EJCDLKNP_00836	28229.4409091936	-4.88855327776714	0.0767772815693979	-63.6718724320611	0	0
EJCDLKNP_01775	10258.9079120396	-4.84547242615379	0.0655928492780548	-73.871961341599	0	0
EJCDLKNP_00349	19361.9340046642	-4.61794760738798	0.0671100522802932	-68.8115632528577	0	0
EJCDLKNP_02969	2.34504542763771	-4.59617342915694	1.74662383956313	-2.63146152310996	0.00850184935132469	0.0114424531592201
EJCDLKNP_01615	4.73336143659045	-4.59549940583657	1.44559716543909	-3.17896265688977	0.00147803131633279	0.00208157809388828
EJCDLKNP_00845	42016.219508024	-4.5859202898933	0.0664278195291893	-69.036140616932	0	0
EJCDLKNP_00846	21456.5067742789	-4.49421198840797	0.0677111190262463	-66.3733232154369	0	0
EJCDLKNP_00376	890.895583814498	-4.47381844862726	0.12726653693856	-35.1531404581792	1.04083175906551e-270	1.40208906019408e-269
EJCDLKNP_01164	43257.1934034457	-4.41503613390193	0.0614864900345388	-71.80497913317	0	0
EJCDLKNP_01792	1840.43897746766	-4.41297534629764	0.105037865628204	-42.0131856250579	0	0
EJCDLKNP_00705	7.52229755600565	-4.37793540098395	1.22000460069703	-3.58845810784869	0.000332639428777386	0.000485543655999643
EJCDLKNP_02077	49.4205940702917	-4.37527451275603	0.489615934308922	-8.93613586929436	4.0301637875266e-19	8.82406123741248e-19
EJCDLKNP_01980	5967.35521409918	-4.26555242214598	0.0675582649379749	-63.1388687388904	0	0
EJCDLKNP_01681	17.8573191853838	-4.26283211447096	0.773456702773011	-5.51140367545821	3.5598322994859e-08	6.08289887807488e-08
EJCDLKNP_01776	3489.00339770168	-4.23438044568177	0.0796858512969476	-53.1384226530057	0	0
EJCDLKNP_01165	32149.057450678	-4.21037588112177	0.0677938479806049	-62.1055745696322	0	0
EJCDLKNP_02343	93.1341603511356	-4.05786255689811	0.326299492836356	-12.4360063254318	1.66628989884959e-35	4.74458280203238e-35
EJCDLKNP_01371	60552.348211447	-4.03701216450189	0.0599527130278133	-67.3366051446085	0	0
EJCDLKNP_01853	21.1174635060896	-4.00931462764143	0.672478730962662	-5.96199469669776	2.49177237146626e-09	4.40310835522626e-09
EJCDLKNP_00401	26.8106954735718	-3.992064322178	0.595223656095055	-6.70683075395189	1.98896718170522e-11	3.70878796638267e-11
EJCDLKNP_01541	1.39547195321545	-3.849574320406	1.95669501507251	-1.96738597009373	0.0491387305637882	0.0621789160124767
EJCDLKNP_01981	6973.81786318969	-3.79261730457264	0.066653697010352	-56.9003292343051	0	0
EJCDLKNP_01803	215.569486299253	-3.71436023383594	0.202760120240691	-18.318988119689	5.83883706650613e-75	2.56056445953057e-74
EJCDLKNP_00835	13684.686193312	-3.71398236738504	0.0603975004939532	-61.4923190034475	0	0
EJCDLKNP_00505	13963.5605512659	-3.68737662096328	0.0725095273023016	-50.8536844488053	0	0
