"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EJCDLKNP_00047",6620.53028080524,2.328629700876,0.0594933368350068,39.1410168727635,0,0
"EJCDLKNP_00099",7656.56822325175,3.83753295267185,0.0616138805548659,62.2835782799722,0,0
"EJCDLKNP_00122",122502.597806576,3.0887344250216,0.0548943078150024,56.2669345504974,0,0
"EJCDLKNP_00127",56983.1337153985,-2.80404516667345,0.0590787467629699,-47.4628410437271,0,0
"EJCDLKNP_00143",4863.43424612287,2.59243847446843,0.0661380187386431,39.1974014932764,0,0
"EJCDLKNP_00147",6984.1898993058,2.60503821314871,0.064870858391898,40.1572952435923,0,0
"EJCDLKNP_00148",5573.15109579231,3.13288256121273,0.0683790151563025,45.8164329224617,0,0
"EJCDLKNP_00157",8634.09849982439,-2.21109060755004,0.0583915640563821,-37.8666104133644,0,0
"EJCDLKNP_00189",51250.0256295152,-2.13381484155204,0.0495050387301234,-43.1029829748146,0,0
"EJCDLKNP_00192",5741.70301339169,2.97033287121468,0.0721404793644623,41.1742879640182,0,0
"EJCDLKNP_00193",1487.85402053637,5.29938442387791,0.121985990685724,43.4425657740558,0,0
"EJCDLKNP_00195",11124.9816273881,-5.47009582177448,0.075312788279,-72.6316996989971,0,0
"EJCDLKNP_00196",18103.1754762889,-6.07351405036102,0.0998591117056271,-60.820829933527,0,0
"EJCDLKNP_00197",16465.267307955,-5.55612096076346,0.0635950189706988,-87.3672348981203,0,0
"EJCDLKNP_00272",9896.38191884137,4.66301487608024,0.072710676545185,64.131089100546,0,0
"EJCDLKNP_00312",2486.2076577362,5.00877081098267,0.101513452531166,49.3409561599229,0,0
"EJCDLKNP_00313",1900.7517887588,4.41566781001682,0.0962668770865232,45.8690251897138,0,0
"EJCDLKNP_00314",7541.24211313225,7.54590535967176,0.111075884480725,67.9346862277851,0,0
"EJCDLKNP_00315",4989.63184274338,7.41888497068555,0.127406231605198,58.230157796951,0,0
"EJCDLKNP_00317",7245.05853343552,7.5683166860869,0.121838348313451,62.1176894701167,0,0
"EJCDLKNP_00319",5363.05252927777,3.49675169794755,0.0915130621168868,38.2104108097842,0,0
"EJCDLKNP_00322",21027.2330429283,4.33584126222516,0.080028095171498,54.1789886780832,0,0
"EJCDLKNP_00323",3325.65038819674,3.74877438895642,0.0805435432620579,46.5434501280798,0,0
"EJCDLKNP_00328",14596.6025368501,3.17000224902554,0.0790698424204722,40.0911668973402,0,0
"EJCDLKNP_00330",13459.8079940138,3.13807785205294,0.0716843368787711,43.7763392770153,0,0
"EJCDLKNP_00337",5509.97370564743,-3.05857413983513,0.0675656509622551,-45.2681813358651,0,0
"EJCDLKNP_00349",19361.9340046642,-4.61794760738798,0.0671100522802932,-68.8115632528577,0,0
"EJCDLKNP_00350",6067.15284382459,-4.94550608610094,0.0829211323861004,-59.6410823609293,0,0
"EJCDLKNP_00367",8209.28487122797,-2.37994598018815,0.0621823324700568,-38.2736685108135,0,0
"EJCDLKNP_00377",3711.10757211756,-3.2068093246243,0.0695298060094627,-46.1213615954554,0,0
"EJCDLKNP_00378",5878.67034896764,-3.25813363839861,0.0650655429975934,-50.0746399445114,0,0
"EJCDLKNP_00387",7441.11808514531,-2.53226233674751,0.062689693870115,-40.393598698919,0,0
"EJCDLKNP_00388",4455.25251840986,-2.74058181812437,0.0703909704130684,-38.9337126913024,0,0
"EJCDLKNP_00397",22793.1664360396,5.62549594733829,0.0728000812333167,77.2732097552083,0,0
"EJCDLKNP_00415",4550.03895220473,4.90591244727847,0.100177537832076,48.9721803255146,0,0
"EJCDLKNP_00431",3537.95957726039,2.58474236333575,0.0666274724908805,38.7939428992977,0,0
"EJCDLKNP_00432",9511.86445477858,3.06597320866189,0.0572511814063316,53.553012066277,0,0
"EJCDLKNP_00454",24723.9718614024,3.65802649297076,0.0665346230365049,54.9792923747948,0,0
"EJCDLKNP_00460",27812.7800453783,-2.12205250739072,0.0507562955919996,-41.8086561014749,0,0
"EJCDLKNP_00491",3891.12203394086,3.94475701926053,0.0869347435534022,45.3760701190468,0,0
"EJCDLKNP_00499",32981.7117190422,2.84490923880194,0.0539596601939939,52.7228901845198,0,0
"EJCDLKNP_00504",8749.43240133506,-3.29833903840363,0.0659574778535033,-50.0070522061123,0,0
"EJCDLKNP_00505",13963.5605512659,-3.68737662096328,0.0725095273023016,-50.8536844488053,0,0
"EJCDLKNP_00518",6789.77339523975,-2.85264931652415,0.0627312271718662,-45.474151313965,0,0
"EJCDLKNP_00533",28065.4250161803,7.7793251059899,0.0918280781329518,84.7161920858969,0,0
"EJCDLKNP_00537",2094.37191079692,3.54023470507128,0.0820693807530309,43.1370953769569,0,0
"EJCDLKNP_00550",5750.14954158967,-2.33600054492809,0.0619688854453793,-37.6963459668335,0,0
"EJCDLKNP_00585",64945.0544920157,5.81354862507103,0.0868483200103097,66.9391028448323,0,0
"EJCDLKNP_00593",9229.96296070903,9.5398617023098,0.173415103740693,55.011711762862,0,0
"EJCDLKNP_00596",56550.484065973,3.71223808476123,0.0585197033418649,63.4356955481265,0,0
